,channelGrouping,fullVisitorId,visitNumber,visitStartTime,device_operatingSystem,device_isMobile,geoNetwork_region,geoNetwork_metro,geoNetwork_city,geoNetwork_networkDomain,totals_hits,totals_pageviews,totals_timeOnSite,trafficSource_source,trafficSource_medium
6286,Direct,3371421134809281185,1,1512056866,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,woodbinedevelopment.com,19,15,341,(direct),(none)
6289,Organic Search,4954404706370546472,3,1512077805,iOS,True,Texas,Dallas-Ft. Worth TX,Dallas,(not set),19,15,1532,google,organic
6304,Direct,5774144420048753588,2,1512056525,Macintosh,False,Illinois,Chicago IL,Chicago,lightentheloadinc.com,21,18,426,(direct),(none)
6324,Referral,943945152769904281,1,1512079391,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),23,18,738,(direct),(none)
6325,Organic Search,8169242395174514673,11,1512070441,Macintosh,False,New York,New York NY,New York,(not set),23,18,1482,google,organic
6342,Organic Search,1505936082836608918,1,1512068782,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,wednet.edu,27,23,973,google,organic
6373,Referral,9851027407827249742,1,1512059036,Macintosh,False,California,Los Angeles CA,Irvine,cox.net,37,26,656,(direct),(none)
6377,Referral,5828412432443212029,4,1512069586,Macintosh,False,New York,New York NY,New York,(not set),40,39,767,(direct),(none)
6381,Organic Search,2875842843843422362,3,1512075354,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),41,23,685,google,organic
6384,Paid Search,2519100032925370597,4,1512100026,Windows,False,New York,New York NY,New York,rr.com,43,27,566,google,cpc
6387,Organic Search,3517667571922875880,10,1512094534,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,purechat.com,48,29,830,google,organic
6388,Referral,5693109963199016413,3,1512070534,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,wideopenwest.com,48,27,1216,(direct),(none)
6389,Organic Search,4261759267361269648,1,1512088996,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,entheosel.org,51,31,1073,google,organic
6390,Organic Search,9549089852095378957,5,1512072523,iOS,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),51,32,972,google,organic
6392,Organic Search,6739930820441913668,1,1512047312,iOS,True,District of Columbia,Washington DC (Hagerstown MD),Washington,att.net,53,43,1754,google,organic
6398,Referral,4962088874496440474,2,1512078277,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),70,43,599,(direct),(none)
8962,Display,7168226225550508027,3,1485452166,Macintosh,False,New York,New York NY,New York,(not set),42,33,733,dfa,cpm
9502,Referral,2923583380085498492,7,1485467793,Chrome OS,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),8,8,153,(direct),(none)
9612,Organic Search,4357414011161520512,1,1485484006,iOS,True,Oregon,Portland OR,Tigard,(not set),12,10,348,(direct),(none)
9623,Referral,62722204677243801,3,1485456962,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),12,10,370,(direct),(none)
9634,Direct,4290831302541966980,1,1485456771,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Santa Clara,unknown.unknown,13,11,319,(direct),(none)
9655,Direct,4395471984561333181,1,1485477841,iOS,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,comcastbusiness.net,15,14,635,(direct),(none)
9681,Direct,5843958474903500870,2,1485478912,iOS,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),18,9,396,(direct),(none)
9694,Referral,8946514554986669717,5,1485446384,Macintosh,False,Michigan,Detroit MI,Ann Arbor,(not set),20,16,215,(direct),(none)
9696,Referral,0463325773564352787,3,1485471506,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),20,16,274,(direct),(none)
9705,Organic Search,205818826345710444,6,1485483505,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),22,17,1112,(direct),(none)
9706,Organic Search,6388824250276633832,4,1485474460,Macintosh,False,California,San Francisco-Oakland-San Jose CA,San Francisco,(not set),23,17,474,(direct),(none)
9717,Organic Search,3945894443419413506,2,1485470612,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),25,23,401,(direct),(none)
9726,Organic Search,661947368755840479,4,1485458220,Windows,False,Illinois,Chicago IL,Chicago,(not set),29,21,717,(direct),(none)
9735,Referral,700225401855286769,1,1485443740,Macintosh,False,Michigan,Detroit MI,Ann Arbor,(not set),34,28,918,(direct),(none)
9736,Referral,4305270415377533885,6,1485499587,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Mountain View,comcast.net,35,26,1486,(direct),(none)
9738,Referral,1627208831212925916,1,1485477973,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),36,29,794,(direct),(none)
9739,Referral,0608915197735218105,6,1485467658,Chrome OS,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,cox.net,37,31,639,(direct),(none)
9740,Referral,3972031438204538458,1,1485457608,Linux,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),37,27,416,(direct),(none)
9741,Direct,2402527199731150932,9,1485453756,Chrome OS,False,Illinois,Chicago IL,Chicago,(not set),37,31,897,(direct),(none)
9745,Referral,2553957087129235590,2,1485445175,Macintosh,False,New York,New York NY,New York,(not set),42,35,847,(direct),(none)
9748,Referral,0463325773564352787,4,1485475748,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),43,33,540,(direct),(none)
9749,Organic Search,4985703629807810187,1,1485474927,Macintosh,False,New York,New York NY,New York,rcn.com,46,37,972,(direct),(none)
9752,Referral,406001208091891832,1,1485469662,Macintosh,False,California,San Francisco-Oakland-San Jose CA,San Francisco,(not set),57,45,2526,(direct),(none)
9753,Referral,7488710348710523001,3,1485480993,Macintosh,False,California,San Francisco-Oakland-San Jose CA,San Francisco,(not set),57,43,1237,(direct),(none)
9755,Direct,1759779356678951325,17,1485467514,Windows,False,Illinois,Chicago IL,Chicago,(not set),63,48,833,(direct),(none)
9759,Referral,791462951878788065,1,1485465620,Macintosh,False,California,San Francisco-Oakland-San Jose CA,San Jose,comcastbusiness.net,91,69,1477,(direct),(none)
9761,Referral,7638336411447332495,7,1485447665,Macintosh,False,New York,New York NY,New York,unknown.unknown,161,112,2536,(direct),(none)
12748,Referral,0750845334721949296,1,1498226004,Macintosh,False,District of Columbia,Washington DC (Hagerstown MD),Washington,(not set),10,10,323,(direct),(none)
12779,Referral,7265361594035996306,7,1498230705,Chrome OS,False,New York,New York NY,New York,(not set),11,11,418,(direct),(none)
12804,Organic Search,987390821892515431,2,1498241858,Macintosh,False,Washington,Seattle-Tacoma WA,Seattle,spectrumnet.us,12,11,259,(direct),(none)
12815,Organic Search,987390821892515431,3,1498251943,Macintosh,False,Washington,Seattle-Tacoma WA,Seattle,spectrumnet.us,13,11,528,(direct),(none)
12820,Referral,3654857757910532216,1,1498265066,Macintosh,False,Washington,Seattle-Tacoma WA,Seattle,(not set),14,13,692,(direct),(none)
12832,Referral,0115940065332308119,3,1498241851,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Santa Clara,(not set),15,13,962,(direct),(none)
12838,Referral,4064008221273566105,3,1498245824,Macintosh,False,Illinois,Chicago IL,Chicago,(not set),15,14,471,(direct),(none)
12859,Referral,072965257504694282,10,1498238118,Linux,False,New York,New York NY,New York,(not set),18,14,268,(direct),(none)
12866,Organic Search,384990845055862114,11,1498271478,iOS,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,suddenlink.net,18,16,1973,(direct),(none)
12880,Direct,2099864407370022116,1,1498252156,Macintosh,False,California,San Francisco-Oakland-San Jose CA,San Francisco,(not set),21,15,277,(direct),(none)
12884,Paid Search,3412601168298155096,1,1498263251,Windows,False,California,San Diego CA,San Diego,(not set),22,16,740,(direct),(none)
12889,Organic Search,2665204442613686910,2,1498232978,iOS,True,Massachusetts,Boston MA-Manchester NH,Boston,spcsdns.net,23,20,1410,(direct),(none)
12897,Referral,3508419666243874603,4,1498242081,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),24,18,570,(direct),(none)
12908,Display,6416811485882520793,2,1498240051,Macintosh,False,California,Los Angeles CA,Los Angeles,(not set),27,12,285,(direct),(none)
12909,Referral,1216639212736323098,1,1498235295,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),28,24,436,(direct),(none)
12912,Organic Search,4692146566453742608,1,1498243020,Macintosh,False,Washington,Seattle-Tacoma WA,Kirkland,(not set),30,23,526,(direct),(none)
12915,Referral,9429712068285188439,2,1498283637,Macintosh,False,Washington,Seattle-Tacoma WA,Kirkland,comcast.net,31,24,1472,(direct),(none)
12922,Referral,4064008221273566105,4,1498248663,Macintosh,False,Illinois,Chicago IL,Chicago,(not set),33,29,1044,(direct),(none)
12924,Referral,4127513140005445280,4,1498218912,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,verizon.net,34,28,1033,(direct),(none)
12928,Direct,3560820276518060023,1,1498211423,Android,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,comcast.net,35,28,1237,(direct),(none)
12934,Referral,2658678838785413275,1,1498272983,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,comcast.net,39,28,862,(direct),(none)
12937,Referral,7366648314975511623,1,1498253514,Linux,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),40,35,599,(direct),(none)
12938,Referral,5613784133853070022,4,1498246944,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),41,29,945,(direct),(none)
12942,Organic Search,5820498420449602355,2,1498260264,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),50,40,1034,(direct),(none)
12944,Referral,9492321535184723478,4,1498240539,Linux,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),55,41,1200,(direct),(none)
12949,Referral,3315850109243126332,1,1498225533,Chrome OS,False,New York,New York NY,New York,(not set),86,59,2126,(direct),(none)
14352,Organic Search,8769206328217001636,2,1489338979,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,avagotech.com,17,13,232,google,organic
14355,Direct,1253103077765832819,2,1489356106,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,libertypr.net,18,18,854,(direct),(none)
14359,Organic Search,664683919239436389,1,1489365686,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),20,18,281,google,organic
14364,Organic Search,6421960756925082099,2,1489350226,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),21,16,268,google,organic
14376,Direct,7545575276027340424,1,1489367317,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),24,23,1292,(direct),(none)
14390,Referral,8146644046556936641,2,1489377952,Macintosh,False,California,San Francisco-Oakland-San Jose CA,San Jose,unknown.unknown,30,26,928,(direct),(none)
14391,Organic Search,1977256117656372433,1,1489371345,iOS,True,California,San Francisco-Oakland-San Jose CA,San Francisco,(not set),31,24,545,google,organic
14397,Referral,8611515155255472281,2,1489365472,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,comcast.net,33,31,821,(direct),(none)
14398,Referral,764274607292877218,1,1489347786,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,comcast.net,33,27,676,(direct),(none)
14412,Referral,3980601042365877663,1,1489357807,Macintosh,False,Illinois,Chicago IL,Chicago,(not set),44,37,940,(direct),(none)
14419,Organic Search,4134498426819570935,6,1489358954,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,tctwest.net,69,60,3245,google,organic
15013,Organic Search,8708692061686223002,1,1486151676,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,optonline.net,26,24,1350,(direct),(none)
15020,Organic Search,914215065327707355,5,1486163826,Windows,False,California,Los Angeles CA,Irvine,cox.net,40,30,1860,(direct),(none)
15024,Organic Search,5828638042083405599,5,1486163196,Android,True,(not set),(not set),(not set),(not set),61,48,1573,(direct),(none)
15376,Direct,4664319107970739921,5,1486137202,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,cableone.net,11,11,1429,(direct),(none)
15384,Direct,4033167138991049828,1,1486147243,Android,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),12,10,282,(direct),(none)
15406,Referral,3831723766212483216,3,1486163738,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Mountain View,fusionbroadband.com,13,13,256,(direct),(none)
15430,Organic Search,3798576854040953242,6,1486150295,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),16,16,368,(direct),(none)
15439,Referral,1029323150011228171,2,1486152691,Macintosh,False,New York,New York NY,New York,(not set),18,14,797,(direct),(none)
15447,Referral,1271739936649587420,4,1486155144,Macintosh,False,New York,New York NY,New York,(not set),20,19,964,(direct),(none)
15449,Organic Search,9562948220302753056,2,1486137202,Chrome OS,False,California,San Francisco-Oakland-San Jose CA,San Jose,(not set),20,20,588,(direct),(none)
15452,Organic Search,689752308200679975,1,1486182517,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,cox.net,20,17,375,(direct),(none)
15472,Referral,4262513756531099314,2,1486156183,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),25,20,417,(direct),(none)
15476,Direct,9228091811246318377,2,1486155118,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),26,25,416,(direct),(none)
15479,Direct,8092136662808852323,3,1486139748,Macintosh,False,Illinois,Chicago IL,Chicago,(not set),27,22,535,(direct),(none)
15480,Referral,2840155464434051520,10,1486141246,Windows,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),27,20,297,(direct),(none)
15483,Organic Search,9013296840842675812,3,1486193195,iOS,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,sbcglobal.net,28,22,571,(direct),(none)
15487,Organic Search,9393064695401243962,1,1486175439,Windows,False,California,San Diego CA,San Diego,rr.com,30,27,2124,(direct),(none)
15490,Referral,4995924842281653133,3,1486131356,Macintosh,False,New York,New York NY,New York,optonline.net,30,24,360,(direct),(none)
15492,Direct,6954387213546558639,2,1486153141,Macintosh,False,Illinois,Chicago IL,Chicago,(not set),31,26,2492,(direct),(none)
15498,Referral,3087800167641443127,1,1486160821,Macintosh,False,Illinois,Chicago IL,Chicago,(not set),39,32,1611,(direct),(none)
15502,Referral,0175318834283875506,5,1486157107,Macintosh,False,New York,New York NY,New York,(not set),48,36,364,(direct),(none)
15503,Referral,3346100016851964940,1,1486148158,Macintosh,False,New York,New York NY,New York,(not set),51,43,869,(direct),(none)
15504,Referral,3746316960999614032,1,1486165316,Macintosh,False,California,San Francisco-Oakland-San Jose CA,San Francisco,(not set),53,41,1174,(direct),(none)
15505,Direct,1814166460229302850,8,1486135601,Chrome OS,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,embarqhsd.net,54,40,935,(direct),(none)
15508,Referral,8287144117447582539,2,1486150779,Macintosh,False,California,San Francisco-Oakland-San Jose CA,San Francisco,(not set),61,44,896,(direct),(none)
15511,Referral,28714765282885780,5,1486185884,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Mountain View,comcast.net,62,42,835,(direct),(none)
15513,Organic Search,7365317501077088080,1,1486147875,Chrome OS,False,California,San Francisco-Oakland-San Jose CA,San Francisco,(not set),76,59,3067,(direct),(none)
15514,Referral,1735733574864942932,2,1486161876,Chrome OS,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),77,58,2176,(direct),(none)
17168,Referral,0542979939655528437,2,1523847009,Android,True,Ontario,(not set),Toronto,(not set),8,7,338,(direct),(none)
17240,Organic Search,1599643548348828766,2,1523847000,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,yellowbook.com,11,10,345,google,organic
17252,Referral,3102343581929921848,2,1523839565,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,comcast.net,12,11,375,google.com,referral
17290,Referral,3102343581929921848,1,1523825379,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,comcast.net,15,15,499,google.com,referral
17291,Referral,9989175626794898064,1,1523824414,Macintosh,False,New York,New York NY,New York,(not set),15,12,472,(direct),(none)
17330,Organic Search,1626167154986051036,1,1523814986,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Santa Clara,comcast.net,19,19,772,google,organic
17344,Organic Search,099652446932071844,2,1523844622,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,unknown.unknown,20,16,475,google,organic
17346,Direct,9171860225687654488,1,1523837364,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,unknown.unknown,21,15,367,(direct),(none)
17371,Organic Search,8613294078987378632,1,1523829475,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,sbcglobal.net,28,18,250,google,organic
17374,Organic Search,8681025856854625526,2,1523829032,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,comcast.net,30,22,870,google,organic
17377,Organic Search,3648111227535332603,1,1523845969,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,level3.net,31,27,907,google,organic
17389,Organic Search,6923363827219009344,3,1523841989,Linux,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,qwest.net,36,25,419,google,organic
17390,Organic Search,0534135751322735189,1,1523833471,Linux,False,Illinois,Chicago IL,Chicago,quadranet.com,36,28,1338,google,organic
17400,Organic Search,4843786684243145195,1,1523853351,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),43,27,467,google,organic
19606,Referral,5891629539188709643,7,1510335797,Windows,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),16,13,257,(direct),(none)
19675,Direct,5265608620225309510,1,1510341888,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,comcastbusiness.net,20,14,459,(direct),(none)
19688,Paid Search,5410962620762283927,1,1510368160,Chrome OS,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),22,20,552,google,cpc
19693,Organic Search,4392712461840431447,4,1510345277,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Sunnyvale,(not set),22,16,648,google,organic
19730,Direct,5082249112356633720,2,1510326934,Macintosh,False,New York,New York NY,New York,(not set),30,25,510,(direct),(none)
19732,Paid Search,210152444901624684,5,1510336494,Chrome OS,False,California,San Francisco-Oakland-San Jose CA,San Francisco,(not set),31,26,370,google,cpc
19740,Direct,8657427332734176422,18,1510330284,Chrome OS,False,Illinois,Chicago IL,Chicago,(not set),33,27,830,(direct),(none)
19756,Referral,7248001542527563650,2,1510333912,Macintosh,False,California,San Francisco-Oakland-San Jose CA,San Francisco,(not set),40,33,464,(direct),(none)
19764,Referral,1065674252175815694,4,1510342688,Macintosh,False,California,San Francisco-Oakland-San Jose CA,San Francisco,(not set),48,26,1144,(direct),(none)
19769,Organic Search,2806198238051869421,5,1510343526,Android,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,metrotel.net.co,52,27,669,google,organic
19776,Organic Search,4921798700570421930,7,1510330010,Windows,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),63,38,742,google,organic
19782,Organic Search,5488454547880118132,2,1510370366,Macintosh,False,California,Los Angeles CA,Los Angeles,(not set),74,51,1635,google,organic
