Make,Model,Year,Variant,Kms,Price,Doors,Kind,Location
Volkswagen,Golf,2015,1.6 Trendline,62954,350000,5.0,Hatchback,Bs.as. G.b.a. Oeste
Ford,Ranger,2015,3.2 Cd 4x4 Limited Tdci 200cv At,60000,770000,4.0,Pick-Up,Misiones
Volkswagen,Voyage,2014,1.6 Highline 101cv,64000,230000,4.0,Sedán,Bs.as. G.b.a. Sur
Volkswagen,The Beetle,2014,1.4 Design Dsg,30000,550000,3.0,Hatchback,Santa Fe
Volkswagen,Suran,2013,1.6 Highline 101cv,70000,275000,5.0,Monovolumen,La Pampa
Ford,Fiesta Kinetic Design,2013,1.6 Titanium 120cv,85000,285000,5.0,Hatchback,Bs.as. G.b.a. Oeste
Mercedes Benz,Clase C,2011,1.8 C200 Avantgarde B.efficiency At,62847,499999,4.0,Sedán,Bs.as. G.b.a. Oeste
Ford,Mondeo,2018,2.0 Se Ecoboost At 240cv,15000,1200000,4.0,Sedán,Entre Ríos
Volkswagen,Suran,2015,1.6 Comfortline 101cv Ab,16000,310000,5.0,Monovolumen,Bs.as. G.b.a. Oeste
Volkswagen,CC,2012,2.0 Luxury Dsg Tsi 211cv,80000,420000,4.0,Sedán,Chaco
Volkswagen,Gol Trend,2011,1.6 Pack I Plus 101cv,41000,180000,5.0,Hatchback,Bs.as. G.b.a. Sur
Volkswagen,Suran,2014,1.6 Comfortline 101cv,45000,260000,5.0,Monovolumen,Bs.as. G.b.a. Sur
Ford,Focus II,2013,1.6 Trend Sigma,110000,250000,5.0,Hatchback,Bs.as. G.b.a. Sur
Volkswagen,Gol Trend,2011,1.6 Pack I 101cv,90000,160000,5.0,Hatchback,Mendoza
Volkswagen,Polo,2018,1.6 Comfortline,8733,470000,4.0,Sedán,Capital Federal
Volkswagen,Golf,2015,1.4 Comfortline Tsi Dsg,83000,490000,5.0,Hatchback,Capital Federal
Volkswagen,Gol Trend,2014,1.6 Trendline 101cv,74000,225000,5.0,Hatchback,Bs.as. G.b.a. Norte
Ford,Focus II,2013,1.6 Trend Sigma,74500,284500,5.0,Hatchback,Bs.as. G.b.a. Sur
Volkswagen,Bora,2012,1.8 Highline T Tiptronic Cuero,78000,300000,4.0,Sedán,Capital Federal
Volkswagen,Voyage,2015,1.6 Comfortline 101cv,75069,288000,4.0,Sedán,Bs.as. G.b.a. Norte
Volkswagen,Fox,2013,1.6 Confortline Pack,39500,228000,5.0,Hatchback,Capital Federal
Ford,Ecosport,2017,1.6 Titanium 110cv 4x2,19500,565000,5.0,SUV,Buenos Aires Interior
Honda,CR-V,2011,2.4 Ex L At 4wd,108046,430000,5.0,SUV,Bs.as. G.b.a. Norte
Volkswagen,Vento,2016,2.5 Advance Plus 170cv Tiptronic,59000,500000,4.0,Sedán,Santa Fe
Ford,Ecosport,2015,2.0 Titanium 143cv 4x2,69921,449000,5.0,SUV,Capital Federal
Volkswagen,Fox,2012,1.6 Highline,71000,230000,5.0,Hatchback,Mendoza
Volkswagen,Fox,2013,1.6 Confortline,96000,210000,5.0,Hatchback,Bs.as. G.b.a. Oeste
Ford,Fiesta Kinetic Design,2012,1.6 Design Sedan 120cv Trend,125000,235000,4.0,Sedán,Bs.as. G.b.a. Norte
Volkswagen,Gol Trend,2015,1.6 Pack I 101cv,35000,250000,5.0,Hatchback,Bs.as. G.b.a. Sur
Volkswagen,Gol Trend,2011,1.6 Pack I 101cv,89500,180000,5.0,Hatchback,Bs.as. G.b.a. Oeste
Ford,Fiesta Kinetic Design,2014,1.6 S 120cv,48000,295000,5.0,Hatchback,Bs.as. G.b.a. Sur
Mercedes Benz,Vito,2016,1.6 111 Cdi Furgon Mixto Aa 114cv,58000,740000,2.0,Furgón,Bs.as. G.b.a. Sur
Ford,Ka,2012,1.6 Fly Viral 95cv,63000,152000,3.0,Hatchback,Bs.as. G.b.a. Norte
Volkswagen,Bora,2011,2.0 Trendline 115cv,67000,250000,4.0,Sedán,Bs.as. G.b.a. Norte
Volkswagen,Vento,2014,2.5 Luxury 170cv Tiptronic,65000,470000,4.0,Sedán,Córdoba
Ford,Focus III,2016,1.6 S,11500,465000,5.0,Hatchback,Capital Federal
Volkswagen,Suran,2015,1.6 Highline Msi 110cv,67900,298000,5.0,Monovolumen,Bs.as. G.b.a. Norte
Volkswagen,Suran,2014,1.6 Imotion Highline,48000,270000,5.0,Monovolumen,Capital Federal
Volkswagen,Gol Trend,2012,1.6 Pack Iii 101cv,57200,220000,5.0,Hatchback,Bs.as. G.b.a. Norte
Volkswagen,Gol Trend,2013,1.6 Pack I 101cv,96000,190000,5.0,Hatchback,Salta
Volkswagen,Gol Trend,2014,1.6 Pack I 101cv,96000,239000,5.0,Hatchback,Bs.as. G.b.a. Sur
Chrysler,Town & Country,2012,3.6 Limited Atx,57000,800000,5.0,Monovolumen,Bs.as. G.b.a. Sur
Honda,City,2012,1.5 Ex-l Mt 120cv,127500,245000,4.0,Sedán,Bs.as. G.b.a. Norte
Ford,Focus III,2015,2.0 Se Plus Mt,41000,450000,5.0,Hatchback,Santa Fe
Ford,Ka,2011,1.6 Fly Viral 95cv,90000,175000,3.0,Hatchback,Bs.as. G.b.a. Sur
Ford,Fiesta Kinetic Design,2012,1.6 Design 120cv Titanium,128000,216000,5.0,Hatchback,Bs.as. G.b.a. Oeste
Volkswagen,Suran,2011,1.6 Comfortline 101cv 11a,62000,195000,5.0,Monovolumen,Bs.as. G.b.a. Norte
Volkswagen,Suran,2015,1.6 Highline 101cv,74000,296000,5.0,Monovolumen,Bs.as. G.b.a. Sur
Volkswagen,Amarok,2016,2.0 Cs Tdi 140cv 4x2 Startline,28000,480000,2.0,Pick-Up,Buenos Aires Interior
Volkswagen,Saveiro,2016,1.6 Gp Cd 101cv Pack High,22000,380000,2.0,Pick-Up,Bs.as. G.b.a. Oeste
Volkswagen,Suran,2012,1.6 Comfortline 101cv 11a,73500,190000,5.0,Monovolumen,Bs.as. Costa Atlántica
Volkswagen,Gol Trend,2015,1.6 Pack I 101cv 3p,24700,200000,3.0,Hatchback,Bs.as. G.b.a. Norte
Ford,Ka,2013,1.0 Fly Viral 63cv,60000,160000,3.0,Hatchback,Capital Federal
Ford,Focus III,2016,2.0 Se,37000,460000,5.0,Hatchback,Capital Federal
Volkswagen,Bora,2013,2.0 Trendline 115cv,70000,240000,4.0,Sedán,Capital Federal
Ford,Fiesta Kinetic Design,2011,1.6 Design 120cv Titanium,127000,200000,5.0,Hatchback,Buenos Aires Interior
Ford,Focus III,2015,2.0 Se Plus Mt,37000,420000,5.0,Hatchback,Capital Federal
Volkswagen,Saveiro,2015,1.6 Gp Ce 101cv Pack Electr.+seg.,35000,370000,2.0,Pick-Up,Bs.as. G.b.a. Sur
Volkswagen,Amarok,2012,2.0 Cd Tdi 122cv 4x2 Startline S22,100000,450000,4.0,Pick-Up,Bs.as. G.b.a. Oeste
Ford,Ka,2012,1.6 Fly Viral 95cv,104000,165000,3.0,Hatchback,Córdoba
Ford,Ranger,2014,3.2 Cd 4x2 Xlt Tdci 200cv,65000,610000,4.0,Pick-Up,Bs.as. G.b.a. Norte
Volkswagen,Gol,2011,1.6 I Power 701,117000,121500,3.0,Hatchback,Bs.as. G.b.a. Oeste
Ford,Ecosport,2015,1.6 Se 110cv 4x2,50928,369000,5.0,SUV,Bs.as. G.b.a. Norte
Volkswagen,Up!,2016,1.0 Move Up! 75cv,54000,240000,3.0,Hatchback,Bs.as. G.b.a. Norte
Ford,Ecosport,2013,1.5 Se Tdci 90cv 4x2,51000,275000,5.0,SUV,Bs.as. G.b.a. Sur
Volkswagen,Amarok,2015,2.0 Cd Tdi 140cv 4x2 Startline,47000,570000,4.0,Pick-Up,Buenos Aires Interior
Ford,Ecosport,2015,1.6 Se 110cv 4x2,58502,310000,5.0,SUV,Bs.as. G.b.a. Oeste
Ford,Fiesta Kinetic Design,2013,1.6 Design 120cv Titanium,61000,250000,5.0,Hatchback,Bs.as. G.b.a. Oeste
Volkswagen,Scirocco,2012,1.4 Tsi 160cv,83000,590000,2.0,Coupé,Córdoba
Ford,Ecosport,2013,1.6 Se 110cv 4x2,50500,350000,5.0,SUV,Capital Federal
Ford,Ecosport,2011,2.0 My10 Xlt Plus 4x2,89500,238000,5.0,SUV,Buenos Aires Interior
Volkswagen,Vento,2013,2.5 Luxury 170cv Tiptronic,95000,387500,4.0,Sedán,Bs.as. G.b.a. Norte
Volkswagen,Bora,2013,2.0 Trendline 115cv,100000,245000,4.0,Sedán,Santa Cruz
Volkswagen,Gol Trend,2013,1.6 Pack Iii 101cv I-motion,51000,259000,5.0,Hatchback,Capital Federal
Ford,Ecosport,2013,1.6 Titanium 110cv 4x2,69000,369900,5.0,SUV,Capital Federal
Ford,Ecosport,2013,1.6 Se 110cv 4x2,100000,309000,5.0,SUV,Córdoba
Volkswagen,Vento,2014,2.0 Sportline Tsi 200cv Dgs,72000,425000,4.0,Sedán,Bs.as. G.b.a. Norte
Volkswagen,Vento,2011,2.5 Luxury Tiptronic 170cv,123000,320000,4.0,Sedán,Bs.as. G.b.a. Oeste
Ford,Focus III,2016,2.0 Se Plus At6,24000,580000,5.0,Hatchback,Córdoba
Volkswagen,Gol Trend,2013,1.6 Pack I 101cv 3p,50000,195000,3.0,Hatchback,Capital Federal
Volkswagen,Voyage,2017,1.6 Trenline 101cv,18000,285000,4.0,Sedán,Capital Federal
Ford,Focus III,2016,1.6 S,49000,510000,5.0,Hatchback,Buenos Aires Interior
Volkswagen,Suran,2015,1.6 Comfortline 101cv Ab,29000,360000,5.0,Monovolumen,Mendoza
Volkswagen,Suran,2013,1.6 Comfortline 101cv Ab,77000,255000,5.0,Monovolumen,Bs.as. G.b.a. Sur
Volkswagen,Amarok,2015,2.0 Cd Tdi 180cv 4x2 Trendline B33,91000,580000,4.0,Pick-Up,Bs.as. G.b.a. Norte
Ford,Ecosport,2014,1.6 Se 110cv 4x2,54000,388000,5.0,SUV,Buenos Aires Interior
Ford,Ranger,2016,3.2 Cd 4x4 Xls Tdci 200cv Manual,85000,790000,4.0,Pick-Up,Bs.as. G.b.a. Sur
Volkswagen,Fox,2012,1.6 Comfortline,83000,230000,5.0,Hatchback,Capital Federal
Volkswagen,Fox,2011,1.6 Highline,81000,255000,5.0,Hatchback,Capital Federal
Volkswagen,Gol Trend,2013,1.6 Pack I 101cv,80000,205000,5.0,Hatchback,Corrientes
Volkswagen,Voyage,2013,1.6 Comfortline 101cv,60000,215000,4.0,Sedán,Capital Federal
Volkswagen,Bora,2013,1.9 Trendline I 100cv,90000,300000,4.0,Sedán,Bs.as. G.b.a. Sur
Ford,Fiesta Kinetic Design,2011,1.6 Design 120cv Titanium,78000,269000,5.0,Hatchback,Bs.as. G.b.a. Oeste
Honda,Fit,2012,1.4 Lx-l Mt 100cv l12,85000,230000,5.0,Hatchback,Capital Federal
Volkswagen,CC,2011,3.6 V6 Fsi Highline 300cv,92000,620000,4.0,Sedán,Bs.as. G.b.a. Norte
Ford,Fiesta Kinetic Design,2013,1.6 Design 120cv Titanium,74000,245000,5.0,Hatchback,Bs.as. G.b.a. Oeste
Volkswagen,Amarok,2011,2.0 Cd Tdi 163cv 4x2 Starline St3,127000,480000,4.0,Pick-Up,Mendoza
Ford,Fiesta Kinetic Design,2014,1.6 Design 120cv Titanium,51000,360000,5.0,Hatchback,Córdoba
Honda,Fit,2014,1.5 Ex-l Mt 120cv,40000,340000,5.0,Hatchback,Mendoza
Volkswagen,Gol Trend,2011,1.6 Pack I 101cv,96000,192000,5.0,Hatchback,Bs.as. G.b.a. Norte
Volkswagen,Suran,2012,1.6 Trendline 11b,89000,218500,5.0,Monovolumen,Capital Federal
Volkswagen,Gol,2012,1.4 Power Ps+ac 83cv,108000,145000,5.0,Hatchback,Bs.as. G.b.a. Oeste
Volkswagen,Gol Trend,2017,1.6 Trendline 101cv 3p,7500,290000,3.0,Hatchback,Buenos Aires Interior
Ford,Fiesta Kinetic Design,2012,1.6 Design 120cv Titanium,98000,290000,5.0,Hatchback,Córdoba
Ford,Focus III,2016,2.0 Sedan Se Plus At6,41000,480000,4.0,Sedán,Bs.as. G.b.a. Oeste
Volkswagen,Saveiro,2014,1.6 Ce 101cv Pack Electr. + Seg.,146000,225000,2.0,Pick-Up,Buenos Aires Interior
Volkswagen,Suran,2012,1.6 Trendline 11b,48000,254000,5.0,Monovolumen,Bs.as. G.b.a. Sur
Volkswagen,Fox,2014,1.6 Confortline,74444,245000,5.0,Hatchback,Bs.as. G.b.a. Oeste
Volkswagen,Gol,2011,1.6 I Power 701,73500,115000,3.0,Hatchback,Capital Federal
Volkswagen,Suran,2012,1.6 Comfortline 101cv 11a,80000,220000,5.0,Monovolumen,Bs.as. G.b.a. Oeste
Ford,Ranger,2016,3.2 Cd 4x2 Xlt At Tdci 200cv,81500,799000,4.0,Pick-Up,Bs.as. G.b.a. Norte
Mercedes Benz,Clase C,2013,1.8 C250 Coupe Sport B.efficiency At,33000,29500,4.0,Sedán,Capital Federal
Ford,Focus II,2012,1.6 Trend Sigma,88000,260000,5.0,Hatchback,Buenos Aires Interior
Ford,Ecosport,2011,1.6 My10 Xl Plus Mp3 4x2,140000,225000,5.0,SUV,Buenos Aires Interior
Volkswagen,Bora,2011,1.8 Highline T 180cv,92000,259000,4.0,Sedán,Bs.as. G.b.a. Oeste
Volkswagen,Bora,2011,2.0 Trendline 115cv,98000,249000,4.0,Sedán,Bs.as. G.b.a. Oeste
Ford,Ka,2013,1.0 Fly Viral 63cv,35000,160000,3.0,Hatchback,Bs.as. G.b.a. Oeste
Ford,Ranger,2014,3.2 Cd 4x4 Xlt Tdci 200cv,80000,700000,4.0,Pick-Up,Bs.as. G.b.a. Sur
Volkswagen,Gol,2013,1.4 Power Ps+ac 83cv,63000,180000,5.0,Hatchback,Bs.as. G.b.a. Norte
Volkswagen,Gol Trend,2012,1.6 Pack I 101cv,104000,185000,5.0,Hatchback,Buenos Aires Interior
Volkswagen,Vento,2014,2.5 Luxury 170cv,38000,350000,4.0,Sedán,Bs.as. G.b.a. Norte
Volkswagen,Suran,2015,1.6 Comfortline 101cv Ab,40000,340000,5.0,Monovolumen,Bs.as. G.b.a. Norte
Volkswagen,Amarok,2017,2.0 Cd Tdi 140cv Trendline,40000,700000,4.0,Pick-Up,Córdoba
Volkswagen,Saveiro,2015,1.6 Gp Ce 101cv Safety + Pack High,70000,280000,2.0,Pick-Up,Buenos Aires Interior
Volkswagen,Bora,2011,2.0 Trendline 115cv,102000,260000,4.0,Sedán,Buenos Aires Interior
Volkswagen,Gol Trend,2016,1.6 Serie 101cv 5p,27000,245000,5.0,Hatchback,Capital Federal
Volkswagen,Golf,2016,1.4 Comfortline Tsi,25000,650000,5.0,Hatchback,Bs.as. Costa Atlántica
Volkswagen,Amarok,2015,2.0 Cd Tdi 4x4 Highline Pack At C34,90000,790000,4.0,Pick-Up,Bs.as. G.b.a. Oeste
Ford,Ecosport,2013,1.6 Se 110cv 4x2,90000,305000,5.0,SUV,Buenos Aires Interior
Ford,Ranger,2014,3.2 Cd 4x4 Limited Tdci 200cv At,81000,840000,4.0,Pick-Up,Bs.as. Costa Atlántica
Ford,Ka,2012,1.6 Pulse 95cv,47000,170000,3.0,Hatchback,Bs.as. G.b.a. Oeste
Volkswagen,Saveiro,2011,1.6 Ce 101cv Pack Electr.,125000,218000,2.0,Pick-Up,Córdoba
Mercedes Benz,Sprinter,2016,2.1 415 Furgon 3250 Tn Mixto 4+1,22000,1030000,2.0,Furgón,Bs.as. G.b.a. Sur
Volkswagen,CC,2011,2.0 Tsi Luxury Dsg 200cv,82000,450000,4.0,Sedán,Bs.as. Costa Atlántica
Volkswagen,Saveiro,2015,1.6 Gp Cs 101cv Aa+hd+safety,15000,265000,2.0,Pick-Up,Capital Federal
Volkswagen,Gol Trend,2012,1.6 Pack Ii 101cv,51800,190000,5.0,Hatchback,Córdoba
Mercedes Benz,Clase CLA,2014,1.6 Cla200 Coupe Urban 156cv Mt,62000,790000,2.0,Coupé,Buenos Aires Interior
Volkswagen,Golf,2017,1.4 Highline Tsi Dsg,16000,890000,5.0,Hatchback,Bs.as. G.b.a. Oeste
Volkswagen,Fox,2013,1.6 Comfortline,64000,252000,5.0,Hatchback,Bs.as. G.b.a. Sur
Ford,Focus III,2014,2.0 Sedan Se,65000,370000,4.0,Sedán,Neuquén
Ford,Ecosport,2011,1.6 My10 Xl Plus Mp3 4x2,107000,194000,5.0,SUV,Tucumán
Volkswagen,Amarok,2011,2.0 Cd Tdi 4x2 Highline Pack 1p2,103000,595000,4.0,Pick-Up,Bs.as. G.b.a. Sur
Volkswagen,Gol Trend,2013,1.6 Pack I 101cv,86000,175000,5.0,Hatchback,Corrientes
Volkswagen,Voyage,2016,1.6 Highline 101cv,51000,260000,4.0,Sedán,Bs.as. G.b.a. Norte
Honda,Fit,2014,1.5 Ex-l At 120cv,103000,375000,5.0,Hatchback,Capital Federal
Ford,Ecosport,2011,1.6 My10 Xls Plus 4x2,108000,239000,5.0,SUV,Santa Fe
Ford,Mondeo,2016,2.0 Titanium Ecoboost At 240cv,65000,800000,4.0,Sedán,Buenos Aires Interior
Ford,Focus III,2016,2.0 Sedan Se Plus Mt,25000,480000,4.0,Sedán,Bs.as. G.b.a. Sur
Ford,Fiesta Kinetic Design,2012,1.6 Design Sedan 120cv Trend,84000,245000,4.0,Sedán,Capital Federal
Volkswagen,Fox,2012,1.6 Trendline,43000,215000,5.0,Hatchback,Bs.as. G.b.a. Oeste
Ford,Ka,2011,1.6 Fly Viral Usb/bluetooth,150000,159000,3.0,Hatchback,Córdoba
Ford,Focus III,2014,2.0 Se,68000,395000,5.0,Hatchback,Bs.as. G.b.a. Norte
Ford,Focus III,2014,2.0 Titanium At6,48000,14000,5.0,Hatchback,Bs.as. G.b.a. Norte
Honda,Civic,2012,1.8 Lxs Mt 140cv,87000,260000,4.0,Sedán,Bs.as. G.b.a. Sur
Ford,Fiesta Kinetic Design,2015,1.6 S 120cv,60000,275500,5.0,Hatchback,Salta
Volkswagen,Amarok,2012,2.0 Cd Tdi 163cv 4x2 Highline 2h2,126000,430000,4.0,Pick-Up,Bs.as. G.b.a. Oeste
Volkswagen,Suran,2014,1.6 Comfortline 101cv Ab,49000,245000,5.0,Monovolumen,Capital Federal
Ford,Ranger,2013,2.2 Cd 4x2 Xl Safety Tdci 125cv,111111,395000,2.0,Pick-Up,Bs.as. G.b.a. Sur
Ford,Ecosport,2011,1.6 My10 Xls 4x2,90600,210000,5.0,SUV,Bs.as. G.b.a. Sur
Volkswagen,Amarok,2013,2.0 Cd Tdi 4x2 Highline Pack C33,103000,700000,4.0,Pick-Up,Santa Fe
Volkswagen,Amarok,2015,2.0 Cd Tdi 140cv 4x2 Startline,57000,470000,4.0,Pick-Up,Neuquén
Ford,Fiesta Kinetic Design,2014,1.6 Se Plus 120cv,70000,260000,5.0,Hatchback,Buenos Aires Interior
Volkswagen,Vento,2012,2.0 Sportline Tsi 200cv,58000,500000,4.0,Sedán,Bs.as. G.b.a. Oeste
Ford,Fiesta Kinetic Design,2012,1.6 Design Sedan 120cv Trend,125000,235000,4.0,Sedán,Bs.as. G.b.a. Norte
Volkswagen,Gol Trend,2012,1.6 Pack I 101cv,74000,150000,5.0,Hatchback,Bs.as. G.b.a. Sur
Volkswagen,Gol Trend,2012,1.6 Pack I 101cv,102000,204900,5.0,Hatchback,Capital Federal
Ford,Ecosport,2013,1.6 Se 110cv 4x2,88000,345000,5.0,SUV,Bs.as. G.b.a. Oeste
Volkswagen,Suran,2012,1.6 Highline 101cv 11c,58000,280000,5.0,Monovolumen,Capital Federal
Ford,Ranger,2013,3.2 Cd 4x4 Xls Tdci 200cv,98000,570000,4.0,Pick-Up,Neuquén
Ford,Ranger,2015,3.2 Cd 4x2 Xlt Tdci 200cv,80000,640000,4.0,Pick-Up,Capital Federal
Honda,Civic,2013,1.8 Exs At 140cv,68000,430000,4.0,Sedán,Bs.as. G.b.a. Norte
Volkswagen,Fox,2011,1.6 Trendline,120000,189000,5.0,Hatchback,Bs.as. G.b.a. Sur
Volkswagen,Gol,2013,1.4 Power Ps+ac 83cv,60000,172000,5.0,Hatchback,Bs.as. G.b.a. Oeste
Ford,Fiesta,2011,1.6 Max One Ambiente,73000,145000,4.0,Sedán,Capital Federal
Ford,Fiesta,2011,1.4 Max One Tdci Edge,150000,155000,4.0,Sedán,Bs.as. G.b.a. Oeste
Volkswagen,Gol Trend,2015,1.6 Pack I Abcp Abs 101cv,12000,239900,5.0,Hatchback,Bs.as. G.b.a. Sur
Ford,Ranger,2012,3.0 Cd Xl Plus 4x2,70000,360000,2.0,Pick-Up,Capital Federal
Honda,CR-V,2012,2.4 Lx At 2wd (mexico),108000,420000,5.0,SUV,Bs.as. G.b.a. Sur
Volkswagen,Gol Trend,2014,1.6 Trendline 101cv,81000,245000,5.0,Hatchback,Bs.as. G.b.a. Oeste
Honda,Fit,2011,1.5 Ex Mt 120cv,117000,250000,5.0,Hatchback,Capital Federal
Ford,Focus II,2011,2.0 Trend,138000,208000,5.0,Hatchback,Capital Federal
Volkswagen,Bora,2011,1.9 Trendline I 100cv,95000,255000,4.0,Sedán,Bs.as. G.b.a. Oeste
Volkswagen,Gol,2011,1.6 I Power 701,150000,130000,3.0,Hatchback,Bs.as. G.b.a. Sur
Ford,Fiesta Kinetic Design,2017,1.6 Sedan Titanium 120cv,28438,435000,4.0,Sedán,Buenos Aires Interior
Ford,Ecosport,2015,2.0 Freestyle 143 4x4,43000,459000,5.0,SUV,Capital Federal
Volkswagen,Amarok,2017,2.0 Cd Tdi 140cv Trendline Llantas16,26700,698000,4.0,Pick-Up,Bs.as. G.b.a. Sur
Ford,Ka,2011,1.6 Pulse 95cv,90000,145000,3.0,Hatchback,Santa Fe
